Newspaper Name,City,County,State,Chain/Owner,Website
Tea Weekly,Tea,Lincoln,SD,Independent (locally owned, family weekly),https://www.teaweekly.com/
The Collegian (SDSU),Brookings,Brookings,SD,Student-run (South Dakota State University),https://sdsucollegian.com/
The Dakota Scout,Sioux Falls,Minnehaha,SD,Independent (founded by former Argus Leader journalists),https://www.thedakotascout.com/
The Republic,Bison,Perkins,SD,Independent (local),https://www.therepublicsd.com/
The Special,Scotland,Bon Homme,SD,Independent (local),https://www.thespecialnews.com/
Timber Lake Topic,Timber Lake,Dewey,SD,Independent (local; long-standing SD weekly),https://www.timberlaketopic.com/
Todd County Tribune,Mission,Todd,SD,Independent (local),https://www.toddcountytribune.com/
Tri-City Star,White Lake,Aurora,SD,Independent (local),https://www.tricitystarsd.com/
Tri-State Neighbor,Sioux Falls,Minnehaha,SD,Independent farm-industry publication (Ag-based, owned by WNAX / WNAX-Farm Network),https://www.tristateneighbor.com/
Tripp Star-Ledger,Tripp,Hutchinson,SD,Independent (local),https://www.trippstarledger.com/
True Dakotan,Woonsocket,Jerauld,SD,Independent (local),https://www.truedakotan.com/
Tyndall Tribune & Register,Tyndall,Bon Homme,SD,Independent (local),https://www.tyndalltribune.com/
Volga Tribune,Volga,Brookings,SD,RFD News Group (regional small-paper network),https://rfdnewsgroup.com/volga-tribune/volga-tribune-online/
Wagner Post,Wagner,Charles Mix,SD,Independent (local),https://www.wagnerpost.com/
Watertown Current,Watertown,Codington,SD,Independent (digital startup, 2024 launch),https://watertowncurrent.com/
Waubay Clipper,Waubay,Day,SD,Independent (status unverified – may be inactive),  
West River Eagle,Eagle Butte,Dewey,SD,Independent (Native-owned; Cheyenne River Sioux Tribe area),https://www.westrivereagle.com/
Winner Advocate,Winner,Tripp,SD,Independent (local; same publisher as Mellette County News),https://www.winneradvocate.com/
Yankton County Observer,Yankton,Yankton,SD,Independent (local),https://www.yanktoncountyobserver.com/
